Year,gdp_growth,financial_inclusion,broadband_subscriptions
2000,5.01593475936546,,
2001,5.91768464924425,,
2002,15.3291557409618,,
2003,7.34719496793299,,
2004,9.25055822923169,,
2005,6.43851652535925,,0.000344786561361771
2006,6.05942803202491,,
2007,6.59113036066867,,0.0349676764955042
2008,6.76447277784263,,0.0430064367391725
2009,8.03692510100366,,0.0505759155118218
2010,8.00565591623166,,0.0594732858863234
2011,5.30792420293915,29.6675376842052,
2012,4.23006117492493,,0.00810383050570905
2013,6.67133539308232,,0.008309884720275
2014,6.30971865521856,44.4419846566021,0.00846705820803965
2015,2.65269329541779,,0.00822774714580616
2016,-1.61686894903467,,0.0552235758942345
2017,0.805886619091581,39.6668586884669,0.0553465496536786
2018,1.92275734199798,,0.0360912702919465
2019,2.20842927835211,,0.0397927035008571
2020,-6.36889840468527,,0.0305206381229766
2021,1.109252540249,45.3166327186278,0.0301639204550369
2022,4.31882949157136,,0.0433814077089791
2023,3.31590368111438,,0.051283785190682
2024,4.07106650147703,63.2613514491542,0.0787379280608494
